,Year,State,Office,Winning Candidate,Winning Party,Winning Percentage,Losing Candidate,Losing Party,Losing Percentage,Indicator,Term,President,Cycle Duration,Overall Growth (%),Average Growth (%)
2322,2012,VERMONT,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,66.57,"ROMNEY, MITT",REPUBLICAN,30.97,Real GDP,Biden,Joe Biden,2021-2023,4.49,2.22
2328,2012,VIRGINIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,51.16,"ROMNEY, MITT",REPUBLICAN,47.28,Real GDP,Obama 1,Barack Obama,2009-2013,6.23,1.53
2334,2012,VIRGINIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,51.16,"ROMNEY, MITT",REPUBLICAN,47.28,Real GDP,Obama 2,Barack Obama,2013-2017,5.41,1.33
2340,2012,VIRGINIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,51.16,"ROMNEY, MITT",REPUBLICAN,47.28,Real GDP,Trump,Donald Trump,2017-2021,9.76,2.39
2346,2012,VIRGINIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,51.16,"ROMNEY, MITT",REPUBLICAN,47.28,Real GDP,Biden,Joe Biden,2021-2023,5.68,2.8
2352,2012,WASHINGTON,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,56.16,"ROMNEY, MITT",REPUBLICAN,41.29,Real GDP,Obama 1,Barack Obama,2009-2013,12.45,2.98
2358,2012,WASHINGTON,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,56.16,"ROMNEY, MITT",REPUBLICAN,41.29,Real GDP,Obama 2,Barack Obama,2013-2017,19.96,4.66
2364,2012,WASHINGTON,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,56.16,"ROMNEY, MITT",REPUBLICAN,41.29,Real GDP,Trump,Donald Trump,2017-2021,19.52,4.59
2370,2012,WASHINGTON,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,56.16,"ROMNEY, MITT",REPUBLICAN,41.29,Real GDP,Biden,Joe Biden,2021-2023,7.49,3.69
2376,2012,WEST VIRGINIA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,62.3,"OBAMA, BARACK H.",DEMOCRAT,35.54,Real GDP,Obama 1,Barack Obama,2009-2013,4.32,1.07
2382,2012,WEST VIRGINIA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,62.3,"OBAMA, BARACK H.",DEMOCRAT,35.54,Real GDP,Obama 2,Barack Obama,2013-2017,1.65,0.42
2388,2012,WEST VIRGINIA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,62.3,"OBAMA, BARACK H.",DEMOCRAT,35.54,Real GDP,Trump,Donald Trump,2017-2021,0.79,0.23
2394,2012,WEST VIRGINIA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,62.3,"OBAMA, BARACK H.",DEMOCRAT,35.54,Real GDP,Biden,Joe Biden,2021-2023,6.64,3.28
2400,2012,WISCONSIN,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,52.78,"ROMNEY, MITT",REPUBLICAN,45.94,Real GDP,Obama 1,Barack Obama,2009-2013,8.75,2.13
2406,2012,WISCONSIN,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,52.78,"ROMNEY, MITT",REPUBLICAN,45.94,Real GDP,Obama 2,Barack Obama,2013-2017,6.74,1.65
2412,2012,WISCONSIN,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,52.78,"ROMNEY, MITT",REPUBLICAN,45.94,Real GDP,Trump,Donald Trump,2017-2021,3.92,1.0
2418,2012,WISCONSIN,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,52.78,"ROMNEY, MITT",REPUBLICAN,45.94,Real GDP,Biden,Joe Biden,2021-2023,3.01,1.49
2424,2012,WYOMING,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,68.19,"OBAMA, BARACK H.",DEMOCRAT,27.64,Real GDP,Obama 1,Barack Obama,2009-2013,-5.4,-1.36
2430,2012,WYOMING,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,68.19,"OBAMA, BARACK H.",DEMOCRAT,27.64,Real GDP,Obama 2,Barack Obama,2013-2017,-2.05,-0.47
2436,2012,WYOMING,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,68.19,"OBAMA, BARACK H.",DEMOCRAT,27.64,Real GDP,Trump,Donald Trump,2017-2021,-1.3,-0.26
2442,2012,WYOMING,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,68.19,"OBAMA, BARACK H.",DEMOCRAT,27.64,Real GDP,Biden,Joe Biden,2021-2023,8.29,4.09
2448,2016,ALABAMA,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,62.08,"CLINTON, HILLARY",DEMOCRAT,34.36,Real GDP,Obama 1,Barack Obama,2009-2013,6.58,1.61
2454,2016,ALABAMA,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,62.08,"CLINTON, HILLARY",DEMOCRAT,34.36,Real GDP,Obama 2,Barack Obama,2013-2017,4.66,1.15
2460,2016,ALABAMA,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,62.08,"CLINTON, HILLARY",DEMOCRAT,34.36,Real GDP,Trump,Donald Trump,2017-2021,7.9,1.94
2466,2016,ALABAMA,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,62.08,"CLINTON, HILLARY",DEMOCRAT,34.36,Real GDP,Biden,Joe Biden,2021-2023,4.98,2.46
2472,2016,ALASKA,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,51.28,"CLINTON, HILLARY",DEMOCRAT,36.55,Real GDP,Obama 1,Barack Obama,2009-2013,-0.59,-0.08
2478,2016,ALASKA,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,51.28,"CLINTON, HILLARY",DEMOCRAT,36.55,Real GDP,Obama 2,Barack Obama,2013-2017,-1.97,-0.49
2484,2016,ALASKA,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,51.28,"CLINTON, HILLARY",DEMOCRAT,36.55,Real GDP,Trump,Donald Trump,2017-2021,-3.92,-0.97
2490,2016,ALASKA,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,51.28,"CLINTON, HILLARY",DEMOCRAT,36.55,Real GDP,Biden,Joe Biden,2021-2023,5.06,2.58
2496,2016,ARIZONA,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,48.67,,DEMOCRAT,0.0,Real GDP,Obama 1,Barack Obama,2009-2013,7.73,1.88
2502,2016,ARIZONA,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,48.67,,DEMOCRAT,0.0,Real GDP,Obama 2,Barack Obama,2013-2017,11.46,2.76
2508,2016,ARIZONA,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,48.67,,DEMOCRAT,0.0,Real GDP,Trump,Donald Trump,2017-2021,18.59,4.38
2514,2016,ARIZONA,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,48.67,,DEMOCRAT,0.0,Real GDP,Biden,Joe Biden,2021-2023,6.93,3.41
2520,2016,ARKANSAS,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,60.57,"CLINTON, HILLARY",DEMOCRAT,33.65,Real GDP,Obama 1,Barack Obama,2009-2013,9.11,2.21
2526,2016,ARKANSAS,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,60.57,"CLINTON, HILLARY",DEMOCRAT,33.65,Real GDP,Obama 2,Barack Obama,2013-2017,3.37,0.83
2532,2016,ARKANSAS,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,60.57,"CLINTON, HILLARY",DEMOCRAT,33.65,Real GDP,Trump,Donald Trump,2017-2021,10.96,2.67
2538,2016,ARKANSAS,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,60.57,"CLINTON, HILLARY",DEMOCRAT,33.65,Real GDP,Biden,Joe Biden,2021-2023,3.93,1.95
2544,2016,CALIFORNIA,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,61.73,"TRUMP, DONALD J.",REPUBLICAN,31.62,Real GDP,Obama 1,Barack Obama,2009-2013,10.88,2.62
2550,2016,CALIFORNIA,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,61.73,"TRUMP, DONALD J.",REPUBLICAN,31.62,Real GDP,Obama 2,Barack Obama,2013-2017,17.1,4.03
2556,2016,CALIFORNIA,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,61.73,"TRUMP, DONALD J.",REPUBLICAN,31.62,Real GDP,Trump,Donald Trump,2017-2021,15.09,3.62
2562,2016,CALIFORNIA,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,61.73,"TRUMP, DONALD J.",REPUBLICAN,31.62,Real GDP,Biden,Joe Biden,2021-2023,3.0,1.49
2568,2016,COLORADO,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,48.16,"TRUMP, DONALD J.",REPUBLICAN,43.25,Real GDP,Obama 1,Barack Obama,2009-2013,9.37,2.27
2574,2016,COLORADO,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,48.16,"TRUMP, DONALD J.",REPUBLICAN,43.25,Real GDP,Obama 2,Barack Obama,2013-2017,16.16,3.82
2580,2016,COLORADO,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,48.16,"TRUMP, DONALD J.",REPUBLICAN,43.25,Real GDP,Trump,Donald Trump,2017-2021,16.06,3.83
2586,2016,COLORADO,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,48.16,"TRUMP, DONALD J.",REPUBLICAN,43.25,Real GDP,Biden,Joe Biden,2021-2023,7.53,3.7
2592,2016,CONNECTICUT,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,54.57,"TRUMP, DONALD J.",REPUBLICAN,40.93,Real GDP,Obama 1,Barack Obama,2009-2013,-2.49,-0.62
2598,2016,CONNECTICUT,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,54.57,"TRUMP, DONALD J.",REPUBLICAN,40.93,Real GDP,Obama 2,Barack Obama,2013-2017,5.78,1.42
2604,2016,CONNECTICUT,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,54.57,"TRUMP, DONALD J.",REPUBLICAN,40.93,Real GDP,Trump,Donald Trump,2017-2021,-1.47,-0.32
2610,2016,CONNECTICUT,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,54.57,"TRUMP, DONALD J.",REPUBLICAN,40.93,Real GDP,Biden,Joe Biden,2021-2023,6.22,3.06
2616,2016,DELAWARE,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,53.35,"TRUMP, DONALD J.",REPUBLICAN,41.92,Real GDP,Obama 1,Barack Obama,2009-2013,-0.77,-0.16
2622,2016,DELAWARE,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,53.35,"TRUMP, DONALD J.",REPUBLICAN,41.92,Real GDP,Obama 2,Barack Obama,2013-2017,1.31,0.46
2628,2016,DELAWARE,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,53.35,"TRUMP, DONALD J.",REPUBLICAN,41.92,Real GDP,Trump,Donald Trump,2017-2021,7.33,1.83
2634,2016,DELAWARE,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,53.35,"TRUMP, DONALD J.",REPUBLICAN,41.92,Real GDP,Biden,Joe Biden,2021-2023,4.5,2.23
2640,2016,DISTRICT OF COLUMBIA,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,90.48,"TRUMP, DONALD J.",REPUBLICAN,4.07,Real GDP,Obama 1,Barack Obama,2009-2013,7.31,1.79
2646,2016,DISTRICT OF COLUMBIA,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,90.48,"TRUMP, DONALD J.",REPUBLICAN,4.07,Real GDP,Obama 2,Barack Obama,2013-2017,8.22,2.0
2652,2016,DISTRICT OF COLUMBIA,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,90.48,"TRUMP, DONALD J.",REPUBLICAN,4.07,Real GDP,Trump,Donald Trump,2017-2021,6.58,1.62
2658,2016,DISTRICT OF COLUMBIA,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,90.48,"TRUMP, DONALD J.",REPUBLICAN,4.07,Real GDP,Biden,Joe Biden,2021-2023,2.01,1.0
2664,2016,FLORIDA,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,49.02,"CLINTON, HILLARY",DEMOCRAT,47.82,Real GDP,Obama 1,Barack Obama,2009-2013,4.72,1.17
2670,2016,FLORIDA,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,49.02,"CLINTON, HILLARY",DEMOCRAT,47.82,Real GDP,Obama 2,Barack Obama,2013-2017,15.3,3.63
2676,2016,FLORIDA,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,49.02,"CLINTON, HILLARY",DEMOCRAT,47.82,Real GDP,Trump,Donald Trump,2017-2021,15.34,3.7
2682,2016,FLORIDA,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,49.02,"CLINTON, HILLARY",DEMOCRAT,47.82,Real GDP,Biden,Joe Biden,2021-2023,10.44,5.1
2688,2016,GEORGIA,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,50.77,"CLINTON, HILLARY",DEMOCRAT,45.64,Real GDP,Obama 1,Barack Obama,2009-2013,7.73,1.88
2694,2016,GEORGIA,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,50.77,"CLINTON, HILLARY",DEMOCRAT,45.64,Real GDP,Obama 2,Barack Obama,2013-2017,16.73,3.94
2700,2016,GEORGIA,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,50.77,"CLINTON, HILLARY",DEMOCRAT,45.64,Real GDP,Trump,Donald Trump,2017-2021,10.19,2.51
2706,2016,GEORGIA,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,50.77,"CLINTON, HILLARY",DEMOCRAT,45.64,Real GDP,Biden,Joe Biden,2021-2023,5.47,2.7
2712,2016,HAWAII,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,60.98,"TRUMP, DONALD J.",REPUBLICAN,29.44,Real GDP,Obama 1,Barack Obama,2009-2013,8.66,2.1
2718,2016,HAWAII,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,60.98,"TRUMP, DONALD J.",REPUBLICAN,29.44,Real GDP,Obama 2,Barack Obama,2013-2017,8.57,2.08
2724,2016,HAWAII,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,60.98,"TRUMP, DONALD J.",REPUBLICAN,29.44,Real GDP,Trump,Donald Trump,2017-2021,-3.46,-0.7
2730,2016,HAWAII,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,60.98,"TRUMP, DONALD J.",REPUBLICAN,29.44,Real GDP,Biden,Joe Biden,2021-2023,4.98,2.46
2736,2016,IDAHO,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,59.26,"CLINTON, HILLARY",DEMOCRAT,27.49,Real GDP,Obama 1,Barack Obama,2009-2013,5.7,1.42
2742,2016,IDAHO,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,59.26,"CLINTON, HILLARY",DEMOCRAT,27.49,Real GDP,Obama 2,Barack Obama,2013-2017,12.61,3.02
2748,2016,IDAHO,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,59.26,"CLINTON, HILLARY",DEMOCRAT,27.49,Real GDP,Trump,Donald Trump,2017-2021,21.98,5.12
2754,2016,IDAHO,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,59.26,"CLINTON, HILLARY",DEMOCRAT,27.49,Real GDP,Biden,Joe Biden,2021-2023,7.79,3.82
2760,2016,ILLINOIS,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,55.83,"TRUMP, DONALD J.",REPUBLICAN,38.76,Real GDP,Obama 1,Barack Obama,2009-2013,7.38,1.8
2766,2016,ILLINOIS,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,55.83,"TRUMP, DONALD J.",REPUBLICAN,38.76,Real GDP,Obama 2,Barack Obama,2013-2017,4.7,1.16
2772,2016,ILLINOIS,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,55.83,"TRUMP, DONALD J.",REPUBLICAN,38.76,Real GDP,Trump,Donald Trump,2017-2021,2.77,0.77
2778,2016,ILLINOIS,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,55.83,"TRUMP, DONALD J.",REPUBLICAN,38.76,Real GDP,Biden,Joe Biden,2021-2023,3.48,1.73
2784,2016,INDIANA,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,56.94,"CLINTON, HILLARY",DEMOCRAT,37.77,Real GDP,Obama 1,Barack Obama,2009-2013,11.15,2.71
2790,2016,INDIANA,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,56.94,"CLINTON, HILLARY",DEMOCRAT,37.77,Real GDP,Obama 2,Barack Obama,2013-2017,7.3,1.79
2796,2016,INDIANA,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,56.94,"CLINTON, HILLARY",DEMOCRAT,37.77,Real GDP,Trump,Donald Trump,2017-2021,8.28,2.08
2802,2016,INDIANA,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,56.94,"CLINTON, HILLARY",DEMOCRAT,37.77,Real GDP,Biden,Joe Biden,2021-2023,4.43,2.2
2808,2016,IOWA,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,51.16,"CLINTON, HILLARY",DEMOCRAT,41.75,Real GDP,Obama 1,Barack Obama,2009-2013,9.14,2.22
2814,2016,IOWA,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,51.16,"CLINTON, HILLARY",DEMOCRAT,41.75,Real GDP,Obama 2,Barack Obama,2013-2017,9.39,2.29
2820,2016,IOWA,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,51.16,"CLINTON, HILLARY",DEMOCRAT,41.75,Real GDP,Trump,Donald Trump,2017-2021,7.49,1.89
2826,2016,IOWA,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,51.16,"CLINTON, HILLARY",DEMOCRAT,41.75,Real GDP,Biden,Joe Biden,2021-2023,0.45,0.22
2832,2016,KANSAS,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,56.65,"CLINTON, HILLARY",DEMOCRAT,36.05,Real GDP,Obama 1,Barack Obama,2009-2013,6.2,1.52
2838,2016,KANSAS,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,56.65,"CLINTON, HILLARY",DEMOCRAT,36.05,Real GDP,Obama 2,Barack Obama,2013-2017,10.33,2.49
2844,2016,KANSAS,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,56.65,"CLINTON, HILLARY",DEMOCRAT,36.05,Real GDP,Trump,Donald Trump,2017-2021,3.91,0.98
2850,2016,KANSAS,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,56.65,"CLINTON, HILLARY",DEMOCRAT,36.05,Real GDP,Biden,Joe Biden,2021-2023,6.37,3.14
2856,2016,KENTUCKY,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,62.52,"CLINTON, HILLARY",DEMOCRAT,32.68,Real GDP,Obama 1,Barack Obama,2009-2013,10.43,2.52
2862,2016,KENTUCKY,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,62.52,"CLINTON, HILLARY",DEMOCRAT,32.68,Real GDP,Obama 2,Barack Obama,2013-2017,3.49,0.86
2868,2016,KENTUCKY,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,62.52,"CLINTON, HILLARY",DEMOCRAT,32.68,Real GDP,Trump,Donald Trump,2017-2021,5.68,1.43
2874,2016,KENTUCKY,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,62.52,"CLINTON, HILLARY",DEMOCRAT,32.68,Real GDP,Biden,Joe Biden,2021-2023,4.32,2.14
2880,2016,LOUISIANA,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,58.09,"CLINTON, HILLARY",DEMOCRAT,38.45,Real GDP,Obama 1,Barack Obama,2009-2013,-2.23,-0.5
2886,2016,LOUISIANA,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,58.09,"CLINTON, HILLARY",DEMOCRAT,38.45,Real GDP,Obama 2,Barack Obama,2013-2017,1.42,0.37
2892,2016,LOUISIANA,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,58.09,"CLINTON, HILLARY",DEMOCRAT,38.45,Real GDP,Trump,Donald Trump,2017-2021,-0.83,-0.12
2898,2016,LOUISIANA,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,58.09,"CLINTON, HILLARY",DEMOCRAT,38.45,Real GDP,Biden,Joe Biden,2021-2023,4.53,2.28
2904,2016,MAINE,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,46.35,"TRUMP, DONALD J.",REPUBLICAN,43.48,Real GDP,Obama 1,Barack Obama,2009-2013,0.41,0.11
2910,2016,MAINE,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,46.35,"TRUMP, DONALD J.",REPUBLICAN,43.48,Real GDP,Obama 2,Barack Obama,2013-2017,6.76,1.65
2916,2016,MAINE,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,46.35,"TRUMP, DONALD J.",REPUBLICAN,43.48,Real GDP,Trump,Donald Trump,2017-2021,12.92,3.1
2922,2016,MAINE,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,46.35,"TRUMP, DONALD J.",REPUBLICAN,43.48,Real GDP,Biden,Joe Biden,2021-2023,5.7,2.81
2928,2016,MARYLAND,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,60.33,"CLINTON, HILLARY",DEMOCRAT,0.0,Real GDP,Obama 1,Barack Obama,2009-2013,8.43,2.06
2934,2016,MARYLAND,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,60.33,"CLINTON, HILLARY",DEMOCRAT,0.0,Real GDP,Obama 2,Barack Obama,2013-2017,9.62,2.33
2940,2016,MARYLAND,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,60.33,"CLINTON, HILLARY",DEMOCRAT,0.0,Real GDP,Trump,Donald Trump,2017-2021,1.81,0.49
2946,2016,MARYLAND,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,60.33,"CLINTON, HILLARY",DEMOCRAT,0.0,Real GDP,Biden,Joe Biden,2021-2023,3.91,1.94
2952,2016,MASSACHUSETTS,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,59.05,"TRUMP, DONALD J.",REPUBLICAN,32.29,Real GDP,Obama 1,Barack Obama,2009-2013,10.35,2.5
2958,2016,MASSACHUSETTS,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,59.05,"TRUMP, DONALD J.",REPUBLICAN,32.29,Real GDP,Obama 2,Barack Obama,2013-2017,8.86,2.15
2964,2016,MASSACHUSETTS,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,59.05,"TRUMP, DONALD J.",REPUBLICAN,32.29,Real GDP,Trump,Donald Trump,2017-2021,12.41,3.0
2970,2016,MASSACHUSETTS,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,59.05,"TRUMP, DONALD J.",REPUBLICAN,32.29,Real GDP,Biden,Joe Biden,2021-2023,3.29,1.63
2976,2016,MICHIGAN,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,47.5,"CLINTON, HILLARY",DEMOCRAT,47.27,Real GDP,Obama 1,Barack Obama,2009-2013,13.57,3.24
2982,2016,MICHIGAN,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,47.5,"CLINTON, HILLARY",DEMOCRAT,47.27,Real GDP,Obama 2,Barack Obama,2013-2017,6.84,1.67
2988,2016,MICHIGAN,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,47.5,"CLINTON, HILLARY",DEMOCRAT,47.27,Real GDP,Trump,Donald Trump,2017-2021,5.0,1.28
2994,2016,MICHIGAN,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,47.5,"CLINTON, HILLARY",DEMOCRAT,47.27,Real GDP,Biden,Joe Biden,2021-2023,4.5,2.23
3000,2016,MINNESOTA,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,46.45,"TRUMP, DONALD J.",REPUBLICAN,44.93,Real GDP,Obama 1,Barack Obama,2009-2013,11.08,2.66
3006,2016,MINNESOTA,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,46.45,"TRUMP, DONALD J.",REPUBLICAN,44.93,Real GDP,Obama 2,Barack Obama,2013-2017,7.56,1.84
3012,2016,MINNESOTA,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,46.45,"TRUMP, DONALD J.",REPUBLICAN,44.93,Real GDP,Trump,Donald Trump,2017-2021,6.55,1.65
3018,2016,MINNESOTA,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,46.45,"TRUMP, DONALD J.",REPUBLICAN,44.93,Real GDP,Biden,Joe Biden,2021-2023,3.43,1.7
3024,2016,MISSISSIPPI,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,57.94,"CLINTON, HILLARY",DEMOCRAT,40.11,Real GDP,Obama 1,Barack Obama,2009-2013,3.49,0.86
3030,2016,MISSISSIPPI,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,57.94,"CLINTON, HILLARY",DEMOCRAT,40.11,Real GDP,Obama 2,Barack Obama,2013-2017,1.15,0.29
3036,2016,MISSISSIPPI,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,57.94,"CLINTON, HILLARY",DEMOCRAT,40.11,Real GDP,Trump,Donald Trump,2017-2021,4.89,1.22
3042,2016,MISSISSIPPI,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,57.94,"CLINTON, HILLARY",DEMOCRAT,40.11,Real GDP,Biden,Joe Biden,2021-2023,3.35,1.66
3048,2016,MISSOURI,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,56.77,"CLINTON, HILLARY",DEMOCRAT,38.14,Real GDP,Obama 1,Barack Obama,2009-2013,4.3,1.07
3054,2016,MISSOURI,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,56.77,"CLINTON, HILLARY",DEMOCRAT,38.14,Real GDP,Obama 2,Barack Obama,2013-2017,3.06,0.76
3060,2016,MISSOURI,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,56.77,"CLINTON, HILLARY",DEMOCRAT,38.14,Real GDP,Trump,Donald Trump,2017-2021,6.52,1.62
3066,2016,MISSOURI,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,56.77,"CLINTON, HILLARY",DEMOCRAT,38.14,Real GDP,Biden,Joe Biden,2021-2023,5.1,2.52
3072,2016,MONTANA,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,56.47,"CLINTON, HILLARY",DEMOCRAT,35.94,Real GDP,Obama 1,Barack Obama,2009-2013,10.2,2.46
3078,2016,MONTANA,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,56.47,"CLINTON, HILLARY",DEMOCRAT,35.94,Real GDP,Obama 2,Barack Obama,2013-2017,7.44,1.83
3084,2016,MONTANA,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,56.47,"CLINTON, HILLARY",DEMOCRAT,35.94,Real GDP,Trump,Donald Trump,2017-2021,9.97,2.44
3090,2016,MONTANA,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,56.47,"CLINTON, HILLARY",DEMOCRAT,35.94,Real GDP,Biden,Joe Biden,2021-2023,7.63,3.75
